"क", "0915", "k, K"
"ख", "0916", "kh, Kh"
"ग", "0917", "g, G"
"घ", "0918", "gh, Gh"
"ङ", "0919", "~N"
"च", "091a", "c, C"
"छ", "091b", "ch, Ch"
"ज", "091c", "j, J"
"झ", "091d", "z, Z, jh, Jh"
"ञ", "091e", "~n"
"ट", "091f", "T"
"ठ", "0920", "Th"
"ड", "0921", "D"
"ढ", "0922", "Dh"
"ण", "0923", "N"
"त", "0924", "t"
"थ", "0925", "th"
"द", "0926", "d"
"ध", "0927", "dh"
"न", "0928", "n"
"प", "092a", "p, P"
"फ", "092b", "f, F, ph, Ph"
"ब", "092c", "b, B"
"भ", "092d", "bh, Bh"
"म", "092e", "m, M"
"य", "092f", "y, Y"
"र", "0930", "r, R"
"ऱ", "0931", "~r, ~R"
"ल", "0932", "l"
"ळ", "0933", "L"
"व", "0935", "v, V, w, W"
"श", "0936", "sh, S"
"ष", "0937", "Sh"
"स", "0938", "s"
"ह", "0939", "h"
